Subgrupo;X1;X2;X3;X4;X5
1;10.2;9.8;10.1;10.3;9.9
2;10.5;10.6;10.4;10.7;10.3
3;9.7;9.8;9.6;9.9;10
4;9.76;9.77;9.7;10.23;9.85
5;9.71;9.97;10.1;10.1;10.25
6;9.97;9.91;10.22;10.05;10.17
7;10.3;10.35;9.72;9.99;10.06
8;9.74;10.28;9.73;10.14;9.87
9;9.5;9.7;8.5;10;9.48
10;10.18;10.22;10.01;10.14;9.86
11;10.3;10.05;9.84;10.23;9.9
12;10.35;10.14;10.06;10.23;9.98
13;9.73;9.83;10.12;10.32;10.04
14;9.86;10.15;10.09;9.71;9.74
15;10.37;10.26;10.24;9.96;10.25
16;10.26;9.81;9.94;10.03;9.72
17;10.1;10.13;10.19;9.75;10.19
18;10.08;10.35;9.77;9.94;9.99
19;9.91;10.19;10.2;10.17;10.23
20;10.7;10.5;10.1;10.6;10.3
21;9.9;10.4;10.3;10.4;10.2
22;9.7;10.9;10.6;10.3;9.7
23;10.9;9.7;10;10.3;10.8
24;10.3;10.1;9.8;9.7;10.4
25;10;10.3;10.3;9.7;11
26;10.8;10;10.5;10.1;9.8
27;10.1;10.4;10.3;10.7;9.7
28;11;10.5;10.3;10.7;10.2
29;10;10.7;10.8;10.3;10.5
30;10.9;10.4;10;11;9.8
31;11;10.5;10.5;10.3;10.3
32;10;10.2;9.9;10.8;11
33;10.2;10.3;10.7;10.3;9.7
34;9.7;9.9;9.8;11;10.2
35;10.4;10.6;10.4;10.1;10.7
36;10;10.6;10.8;9.7;9.8
37;9.7;10.9;9.8;10;11
38;10;10.9;10.2;10.3;10.8
39;10.2;10.1;10.4;10.7;9.7
40;10.4;10.5;11;9.8;10.9
